Unnamed: 0,t,dist,I,coll,var
509,81.0,5501.988204328981,250,vanilla,fixed
510,71.0,5174.303719565664,250,vanilla,fixed
511,72.0,4867.7871046417695,250,vanilla,fixed
512,68.0,5325.3624054171205,250,vanilla,fixed
513,70.0,5708.978391462735,250,vanilla,fixed
514,72.0,5717.735495641854,250,vanilla,fixed
515,182.0,4755.520422099321,250,vanilla,fixed
516,79.0,5635.064320487294,250,vanilla,fixed
517,68.0,5114.779614558381,250,vanilla,fixed
518,81.0,5209.779195273142,250,vanilla,fixed
519,66.0,5536.206474920878,250,vanilla,fixed
520,80.0,6188.691688268476,250,vanilla,fixed
521,64.0,5006.827470719616,250,vanilla,fixed
522,38.0,5010.156038854035,250,vanilla,fixed
523,74.0,5258.941328045308,250,vanilla,fixed
524,75.0,5458.878016637062,250,vanilla,fixed
525,78.0,5704.382793574826,250,vanilla,fixed
526,70.0,6143.301026206785,250,vanilla,fixed
527,72.0,5520.458424144936,250,vanilla,fixed
528,84.0,4450.503927837483,250,vanilla,fixed
529,128.0,5537.269099907934,250,vanilla,fixed
530,63.0,5594.741095884358,250,vanilla,fixed
531,39.0,5294.573863122564,250,vanilla,fixed
532,36.0,6001.979797920562,250,vanilla,fixed
533,65.0,5463.159031332491,250,vanilla,fixed
534,60.0,4791.722737998994,250,vanilla,fixed
535,62.0,5235.159123104953,250,vanilla,fixed
536,40.0,5251.572729544402,250,vanilla,fixed
537,55.0,5355.426071652303,250,vanilla,fixed
538,49.0,4746.234806493641,250,vanilla,fixed
539,60.0,5456.537287567844,250,vanilla,fixed
540,50.0,4802.590704828394,250,vanilla,fixed
541,64.0,5573.638364447068,250,vanilla,fixed
542,76.0,5267.657945004605,250,vanilla,fixed
543,54.0,4916.283853964961,250,vanilla,fixed
544,139.0,5376.971153382401,250,vanilla,fixed
545,76.0,5231.604852072074,250,vanilla,fixed
546,65.0,5631.520971696672,250,vanilla,fixed
